nom,prenom,age,totalbut,poste,equipe
Amalfitano,Romain ,27 août 1989(29),9,Milieu central                            ,FCO Dijon
Loiodice,Enzo ,27 nov. 2000(17),8,Milieu central                            ,FCO Dijon
Marié,Jordan ,29 sept. 1991(27),3,Milieu défensif                            ,FCO Dijon
Alphonse,Mickaël ,12 juil. 1989(29),1,Arrière droit                            ,FCO Dijon
Chafik,Fouad ,16 oct. 1986(32),1,Arrière droit                            ,FCO Dijon
Rosier,Valentin ,19 août 1996(22),10,,FCO Dijon
Bouka Moutou,Arnold ,28 nov. 1988(29),Journée,Arrière gauche                            ,FCO Dijon
Haddadi,Oussama ,28 janv. 1992(26),10,Arrière gauche                            ,FCO Dijon
Coulibaly,Senou ,4 sept. 1994(24),3,1er niveau,FCO Dijon
Ciman,Laurent ,5 août 1985(33),4,Défenseur central                            ,FCO Dijon
Aguerd,Nayef ,30 mars 1996(22),1,Défenseur central                            ,FCO Dijon
Lautoa,Wesley ,25 août 1987(31),9,Défenseur central                            ,FCO Dijon
Yambéré,Cédric ,6 nov. 1990(27),7,Défenseur central                            ,FCO Dijon
Ntumba,Lévi ,12 janv. 2001(17),Journée,Gardien de but                            ,FCO Dijon
Allain,Bobby ,28 nov. 1991(26),-,,FCO Dijon
Rúnarsson,Rúnar Alex ,18 févr. 1995(23),10,Gardien de but                            ,FCO Dijon
Laborde,Gaëtan ,3 mai 1994(24),13,Avant centre                            ,HSC Montpellier
Delort,Andy ,9 oct. 1991(27),10,Avant centre                            ,HSC Montpellier
Camara,Souleymane ,22 déc. 1982(35),3,Ailier droit                            ,HSC Montpellier
Dolly,Keagan ,22 janv. 1993(25),3,Ailier gauche                            ,HSC Montpellier
Mollet,Florent ,19 nov. 1991(26),6,Milieu offensif                            ,HSC Montpellier
Sanson,Killian ,7 juin 1997(21),Journée,Milieu défensif                            ,HSC Montpellier
Píriz,Facundo ,27 mars 1990(28),2,Milieu défensif                            ,HSC Montpellier
Le Tallec,Damien ,19 avr. 1990(28),10,Milieu défensif                            ,HSC Montpellier
Lasne,Paul ,16 janv. 1989(29),10,Milieu défensif                            ,HSC Montpellier
Sambia,Junior ,7 sept. 1996(22),9,Milieu défensif                            ,HSC Montpellier
Skhiri,Ellyes ,10 mai 1995(23),10,Milieu défensif                            ,HSC Montpellier
Porsan-Clemente,Jérémie ,16 déc. 1997(20),-,Arrière droit                            ,HSC Montpellier
Aguilar,Ruben ,26 avr. 1993(25),9,Arrière droit                            ,HSC Montpellier
Cozza,Nicolas ,8 janv. 1999(19),3,Arrière gauche                            ,HSC Montpellier
Oyongo,Ambroise ,22 juin 1991(27),7,Arrière gauche                            ,HSC Montpellier
Hilton,,13 sept. 1977(41),8,Défenseur central                            ,HSC Montpellier
